pid,cond,length,swap_noise,start_time,alpha_time,beta_time,switch_time,idx,Q_p_err,S_p_err,Q_cum_err,S_cum_err,Q_rt,S_rt
1215,crossed,4,0.006,208.9624377954439,570.5740717121988,97.43725117218523,3.946504377673253,2,0.014187499999999957,0.014587499999999955,0.017437499999999953,0.017374999999999953,1052.5478611838614,1247.422363528232
1215,crossed,4,0.006,208.9624377954439,570.5740717121988,97.43725117218523,3.946504377673253,3,0.0,0.0,0.017437499999999953,0.017374999999999953,668.0113228843841,668.0113228843841
1216,crossed,4,0.02,63.489761509499196,541.5306119813592,12.642517238121236,1.7608867641768517,0,0.0,0.0,0.0,0.0,639.924931999465,639.924931999465
1216,crossed,4,0.02,63.489761509499196,541.5306119813592,12.642517238121236,1.7608867641768517,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,554.1731292194805,554.1731292194805
1216,crossed,4,0.02,63.489761509499196,541.5306119813592,12.642517238121236,1.7608867641768517,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,576.4351704899658,601.7202049662084
1216,crossed,4,0.02,63.489761509499196,541.5306119813592,12.642517238121236,1.7608867641768517,3,0.0,0.0,0.05865000000000065,0.058500000000000656,554.1731292194805,554.1731292194805
1217,crossed,4,0.02,186.74452397200093,511.75448347999236,5.769966167610371,1.0748642682293787,0,0.0,0.0,0.0,0.0,710.4709040820604,710.4709040820604
1217,crossed,4,0.02,186.74452397200093,511.75448347999236,5.769966167610371,1.0748642682293787,1,0.010250000000000037,0.010287500000000038,0.010250000000000037,0.010287500000000038,517.5244496476028,517.5244496476028
1217,crossed,4,0.02,186.74452397200093,511.75448347999236,5.769966167610371,1.0748642682293787,2,0.048400000000000616,0.048212500000000616,0.05865000000000065,0.058500000000000656,523.7263801100595,535.2663124452803
1217,crossed,4,0.02,186.74452397200093,511.75448347999236,5.769966167610371,1.0748642682293787,3,0.0,0.0,0.05865000000000065,0.058500000000000656,517.5244496476028,517.5244496476028
1218,crossed,4,0.03,125.32142535856303,520.453969719048,8.772281575918273,1.9664419651321035,0,0.0,0.0,0.0,0.0,671.7978592743702,671.7978592743702
1218,crossed,4,0.03,125.32142535856303,520.453969719048,8.772281575918273,1.9664419651321035,1,0.014787500000000167,0.015100000000000176,0.014787500000000167,0.015100000000000176,529.2262512949663,529.2262512949663
1218,crossed,4,0.03,125.32142535856303,520.453969719048,8.772281575918273,1.9664419651321035,2,0.07273750000000131,0.07262500000000131,0.08752500000000148,0.0877250000000015,546.4764339158072,564.0209970676437
1218,crossed,4,0.03,125.32142535856303,520.453969719048,8.772281575918273,1.9664419651321035,3,0.0,0.0,0.08752500000000148,0.0877250000000015,529.2262512949663,529.2262512949663
1219,crossed,4,0.02,207.0516827370663,494.6023317170949,17.30203906951001,0.8679294369890092,0,0.0,0.0,0.0,0.0,733.9730025520328,733.9730025520328
