pid,p_CE,p_crossed,cond,lkhd_Q,lkhd_S,lkhd_Q_4,lkhd_Q_6,lkhd_Q_8,lkhd_S_4,lkhd_S_6,lkhd_S_8,param_name,param_est_Q,param_est_S
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,strat_b_4,-1.5908731881278695,-1.4805835104975573
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,strat_b_6,-1.611437568809675,-3.2255122982127737
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,strat_b_8,-2.1948760636352356,-2.25119572673648
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,strat_c_4,1.562771216421072,2.002089121492295
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,strat_c_6,2.8684758497776697,2.127634029193296
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,strat_c_8,3.168289182372781,1.59248502969243
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,random_err,0.06152249512645207,0.07309410170644502
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,switch_cost,1.69,6.94
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,alpha_time,735.7021639941418,836.7015467543104
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,start_time,440.0371353940192,141.0324774660041
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,beta_time,93.87499087792467,59.48991509642433
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,sigma_time,0.3520198148517621,0.3735037150584561
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,swap_noise,0.005,0.01
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,strat_a_4,0.9809018241613687,0.9229073388698563
